web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Balogun,ARS,FWD,0.0,4.4,0.3,0,0,0.0,0.0,0.0,0.0,0,1385,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,5,0,0
Cédric,ARS,DEF,0.0,3.9000000000000004,0.4,0,0,0.0,0.0,0.0,0.0,1512,1377,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.5,-0.5,5,0,0
M.Elneny,ARS,MID,0.0,4.4,0.1,0,0,0.0,0.0,0.0,0.0,665,532,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,100.0,Available,0,0,0.5,-0.5,5,0,0
Fábio Vieira,ARS,MID,1.7,5.4,0.1,1,16,15.9,45.6,56.5,58.0,379,1113,0,0,3,2,1,0,0,0,0,0.0,0,0,2,185,0.41,0.32,0.73,1.41,100.0,75.0,Available,0,0,1.7,1.2,5,0,3
Gabriel,ARS,DEF,4.0,4.7,12.5,6,16,10.3,86.6,8.4,8.0,33459,57358,0,0,0,3,2,0,0,0,0,0.0,1,0,4,384,0.07,0.04,0.11,4.2,100.0,0.0,Available,0,0,4.5,3.5,5,0,0
Havertz,ARS,MID,2.7,7.1000000000000005,1.7,7,15,24.1,69.8,85.5,86.0,2119,3770,0,1,0,4,2,0,0,0,0,0.0,3,0,5,446,1.58,0.5,2.08,4.82,0.0,0.0,Available,0,0,3.2,2.2,5,0,1
G.Jesus,ARS,FWD,2.7,8.0,3.7,5,15,22.0,58.0,49.7,113.0,9712,44122,2,1,1,2,1,0,0,0,0,3.0,1,0,2,205,1.42,0.25,1.67,2.37,100.0,100.0,Available,0,0,3.2,2.2,5,0,2
Jorginho,ARS,MID,0.7,5.4,0.2,1,5,2.7,17.4,10.2,0.0,275,587,0,0,0,2,0,0,0,0,0,0.0,0,0,0,72,0.0,0.06,0.06,1.44,100.0,100.0,Available,0,0,1.2,0.2,5,0,0
Kiwior,ARS,DEF,0.0,4.4,0.1,0,2,3.6,16.4,4.9,14.0,79,284,0,0,0,2,0,0,0,0,0,0.0,0,0,1,91,0.32,0.03,0.35,0.79,0.0,0.0,Available,0,0,0.5,-0.5,5,0,0
Marquinhos,ARS,MID,0.0,4.5,0.1,0,0,0.0,0.0,0.0,0.0,0,120,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,5,0,0
